region,month,temperature_c,humidity_pct,pressure_hpa,wind_speed_kph,precip_mm,cloud_cover_pct,condition
East,10,23.02,74.84,1005.04,13.09,28.02,100.0,Rain
North,6,22.77,75.92,1003.66,12.71,15.0,51.59,Rain
East,5,26.36,64.3,1004.02,17.6,16.02,33.34,Cloudy
North,6,18.46,75.63,1016.28,11.69,15.0,51.69,Rain
Central,7,20.04,88.33,1000.23,13.67,16.5,63.08,Rain
East,6,26.88,73.88,1002.77,17.05,21.26,42.38,Rain
North,5,31.24,58.02,1008.31,8.53,10.31,66.32,Cloudy
South,1,20.92,45.77,1012.92,13.54,23.86,54.25,Cloudy
South,12,18.62,55.47,1006.23,11.94,21.48,56.62,Cloudy
West,6,29.25,62.87,1003.01,19.01,22.17,67.6,Cloudy
North,9,17.46,75.8,1009.22,15.63,20.43,89.37,Rain
South,7,28.87,98.32,1005.03,7.8,28.86,96.84,Rain
North,5,33.75,37.39,1017.02,9.42,9.52,25.57,Cloudy
Central,3,38.09,59.22,1014.73,10.02,7.91,20.47,Cloudy
Central,1,17.26,49.86,1012.05,9.91,9.54,34.0,Sunny
West,11,31.28,74.58,1013.0,11.45,8.0,33.57,Sunny
North,7,23.17,79.81,1011.63,15.8,19.09,81.65,Rain
Central,3,31.69,48.5,1009.72,9.24,6.0,23.34,Sunny
North,6,25.36,65.35,1007.47,14.52,20.16,88.71,Cloudy
East,12,25.05,47.85,1009.53,9.67,7.5,24.75,Cloudy
East,8,32.9,85.64,1002.84,12.04,32.71,100.0,Rain
East,6,28.97,85.28,999.26,13.6,19.0,50.7,Rain
South,3,35.96,47.18,1003.3,10.08,9.86,50.97,Cloudy
South,4,37.69,63.8,1012.72,6.67,12.98,42.74,Cloudy
South,4,34.15,62.84,1004.25,12.62,8.0,27.74,Sunny
North,10,19.46,56.04,1008.53,13.49,9.0,32.3,Cloudy
Central,10,31.49,70.93,999.35,5.59,13.91,55.93,Rain
East,10,24.86,84.18,995.29,11.41,14.11,47.06,Rain
Central,11,24.23,77.55,1010.24,15.67,20.69,31.03,Rain
East,7,28.94,76.85,998.84,11.95,34.05,100.0,Rain
West,11,26.72,70.88,1007.4,4.95,12.42,51.35,Rain
Central,7,26.15,82.77,1005.9,7.25,16.5,37.34,Rain
North,9,19.81,75.4,1008.03,10.54,22.85,65.32,Rain
Central,10,22.68,65.56,1001.74,11.85,10.5,39.1,Sunny
West,10,27.46,54.82,999.65,12.72,8.0,30.36,Cloudy
Central,7,26.15,75.08,1011.99,9.19,18.78,51.58,Rain
East,5,29.84,50.13,1011.69,13.03,10.46,44.36,Sunny
North,3,26.8,44.62,1008.22,17.82,14.3,34.91,Cloudy
North,10,22.35,57.31,1009.39,9.58,13.73,41.42,Cloudy
Central,3,27.17,57.27,1013.08,15.7,6.0,17.41,Sunny
West,11,20.47,76.13,1004.39,12.79,13.25,43.91,Rain
West,2,21.85,47.59,1009.5,4.53,2.5,8.54,Sunny
North,9,20.62,74.54,1013.34,11.79,15.0,51.39,Rain
Central,10,23.98,78.91,1000.66,14.34,16.72,62.1,Rain
East,12,22.76,50.9,1016.56,18.9,24.82,78.5,Cloudy
East,5,34.01,61.97,1009.83,13.22,8.5,11.78,Sunny
South,5,38.97,65.55,1004.47,9.18,8.0,5.38,Cloudy
East,1,22.42,46.23,1007.32,5.71,11.99,48.2,Sunny
South,9,28.54,79.26,999.3,14.81,23.96,100.0,Rain
South,12,21.02,53.99,1007.7,12.21,7.0,43.97,Cloudy
North,11,21.26,44.07,1010.1,10.31,15.85,33.96,Cloudy
Central,3,28.48,62.33,1014.48,11.39,6.0,35.09,Sunny
West,7,26.72,75.26,1001.43,10.68,16.45,60.0,Rain
West,5,30.39,48.67,1016.93,12.61,3.5,6.69,Cloudy
Central,9,22.18,75.96,1004.01,11.09,21.38,75.54,Rain
North,4,28.3,52.69,1004.83,12.16,11.27,64.88,Sunny
West,9,24.61,67.6,1012.29,8.66,14.0,34.29,Cloudy
West,3,33.57,46.84,1015.14,12.34,6.93,40.94,Cloudy
Central,7,21.14,90.24,1002.11,16.81,24.36,61.64,Rain
East,6,29.33,73.86,1007.37,15.06,23.81,53.27,Rain
South,10,23.44,75.72,1006.14,12.1,13.54,32.38,Rain
North,4,29.09,42.13,1010.25,11.5,8.05,28.62,Sunny
South,12,16.58,54.92,1012.45,15.39,9.96,25.51,Cloudy
South,8,21.68,93.38,1009.06,18.25,28.83,93.76,Storm
South,12,19.87,51.41,1011.14,14.73,14.48,32.83,Cloudy
East,8,25.22,95.35,1010.67,7.18,19.0,60.18,Rain
Central,6,18.39,80.23,1004.78,13.68,16.5,48.56,Rain
Central,4,34.52,58.33,1011.37,5.41,6.0,25.7,Cloudy
West,6,30.74,82.17,1010.45,11.64,18.74,45.17,Rain
West,2,23.62,36.07,1002.77,13.34,2.5,0.0,Cloudy
West,5,29.62,55.07,1000.01,13.57,15.03,59.98,Sunny
West,10,22.82,68.8,998.49,11.79,17.15,47.79,Cloudy
East,6,27.36,81.85,1010.1,12.65,19.0,93.39,Rain
South,12,19.02,53.23,1005.96,13.85,10.88,52.68,Cloudy
North,11,26.57,38.67,1003.75,7.13,9.0,29.62,Sunny
North,11,26.39,59.61,1013.2,14.43,9.0,29.78,Cloudy
West,6,23.91,84.05,1002.45,9.62,14.0,58.73,Rain
East,8,22.18,85.66,999.08,10.16,19.0,81.22,Rain
Central,5,29.89,69.01,1005.86,12.42,9.34,10.91,Sunny
North,6,18.39,68.0,1007.18,11.56,15.0,57.65,Cloudy
North,1,17.22,34.38,1009.59,11.07,3.92,10.68,Fog
South,5,38.31,49.75,1010.3,9.81,12.3,41.76,Cloudy
Central,7,22.14,77.97,1001.33,15.01,20.69,57.93,Rain
Central,12,19.69,51.76,1009.32,9.3,8.53,29.21,Sunny
West,1,19.0,43.04,1009.86,6.72,7.01,33.47,Sunny
East,4,30.21,72.44,1008.02,9.93,15.45,44.27,Rain
East,6,27.43,85.1,1001.22,7.28,19.0,56.64,Rain
North,4,22.19,46.44,1013.28,9.18,4.63,15.69,Cloudy
East,3,32.61,66.98,1011.94,19.08,8.5,34.96,Cloudy
West,5,31.52,54.62,1012.96,6.68,9.49,29.57,Cloudy
Central,3,33.6,59.08,1004.64,5.22,6.04,16.41,Cloudy
East,2,21.64,47.84,1012.24,10.79,9.46,34.94,Cloudy
Central,2,13.07,43.17,1010.42,2.77,8.34,23.72,Cloudy
South,2,23.66,44.92,1009.45,9.95,10.95,56.85,Cloudy
North,10,23.59,64.41,1012.29,15.62,12.79,44.04,Sunny
East,2,25.13,51.8,1008.55,9.2,7.5,36.31,Sunny
East,11,24.61,76.48,1008.6,15.01,18.34,56.53,Rain
Central,6,24.69,80.75,1007.5,10.23,20.79,75.24,Rain
East,4,33.92,61.35,1012.76,14.52,24.74,94.07,Sunny
North,10,23.97,54.41,1010.92,16.68,9.89,43.6,Cloudy
North,12,24.61,37.76,1015.05,9.13,3.5,0.0,Fog
South,4,38.19,57.07,1011.0,8.1,8.0,40.33,Sunny
East,6,24.44,78.39,1012.31,26.22,29.81,100.0,Storm
East,12,18.28,45.69,1004.64,12.59,7.5,22.54,Cloudy
East,9,27.52,89.22,998.58,9.28,19.76,65.14,Rain
Central,9,24.55,79.15,1010.97,9.06,16.69,59.51,Rain
East,5,34.11,61.21,1008.29,8.16,8.5,25.84,Cloudy
Central,10,25.77,74.23,1009.66,15.77,19.99,66.26,Rain
West,6,28.87,81.86,1006.99,14.17,24.75,57.8,Rain
North,7,20.05,59.6,1004.96,8.69,18.56,69.98,Rain
North,7,23.74,85.3,1001.37,19.61,19.66,54.91,Rain
South,3,32.87,62.73,1014.56,8.52,10.46,27.28,Sunny
South,4,37.48,58.66,1014.67,7.19,8.0,20.14,Sunny
South,6,20.86,95.24,1011.64,15.29,18.5,68.02,Rain
West,12,18.65,40.97,1013.34,9.86,4.33,21.77,Cloudy
West,12,22.25,32.37,996.85,6.44,9.29,25.98,Cloudy
North,7,16.05,78.65,1009.68,14.47,18.08,77.87,Rain
South,11,35.83,84.8,1013.17,10.38,12.5,46.92,Rain
North,9,24.78,88.01,1005.19,8.94,15.0,37.11,Rain
West,3,33.2,52.59,1015.9,11.64,3.54,12.45,Sunny
Central,1,23.11,45.39,1011.67,20.77,10.98,39.6,Cloudy
South,6,31.77,95.98,996.49,19.47,21.57,74.84,Rain
East,2,23.5,43.69,1008.0,11.59,7.5,20.67,Sunny
South,1,25.65,58.91,1007.7,16.39,18.88,55.19,Sunny
Central,4,30.42,65.51,1008.48,13.04,13.5,56.06,Sunny
South,3,36.45,65.27,1003.79,11.63,18.26,95.37,Cloudy
North,7,29.6,80.36,1010.55,9.72,24.72,79.04,Rain
North,3,29.66,56.15,1006.62,11.07,5.37,26.27,Sunny
North,10,25.37,49.27,1002.58,14.17,9.0,28.91,Cloudy
West,10,21.62,69.94,1003.64,9.57,8.0,19.76,Cloudy
Central,7,26.27,76.88,1003.23,7.64,25.38,89.04,Rain
North,4,28.94,28.39,1003.56,4.98,4.5,27.82,Sunny
South,8,25.77,83.58,1005.54,20.4,25.2,87.93,Storm
South,1,22.8,60.94,1016.34,7.68,22.64,99.19,Cloudy
North,10,23.31,58.3,1004.94,12.61,9.0,7.73,Cloudy
Central,12,19.21,49.0,1021.87,9.33,5.0,22.81,Sunny
West,12,23.46,36.25,1009.09,10.87,3.08,5.22,Cloudy
West,6,20.97,61.58,1003.45,9.52,14.0,56.88,Rain
South,2,26.47,57.63,1010.79,14.02,10.1,39.33,Sunny
South,8,21.91,89.48,1002.47,15.22,26.07,84.21,Rain
North,5,29.7,44.2,1010.13,14.62,8.14,41.25,Cloudy
West,4,32.21,57.63,1006.07,18.22,19.76,52.93,Cloudy
South,4,39.03,66.39,1009.83,16.67,18.31,85.82,Cloudy
South,5,34.2,74.95,1005.63,12.09,12.3,56.47,Rain
East,10,28.67,63.02,1000.57,20.02,14.71,59.9,Cloudy
South,1,21.39,60.58,1010.51,11.75,7.0,29.24,Sunny
Central,2,16.39,38.94,1012.81,12.46,5.0,22.88,Sunny
East,6,25.86,81.59,1009.56,6.64,20.13,57.7,Rain
South,11,27.7,63.4,1012.18,18.71,17.83,33.26,Sunny
Central,11,25.64,79.3,1008.05,15.69,23.59,93.54,Rain
South,5,37.41,78.91,1007.54,14.0,14.84,53.67,Rain
North,6,19.11,78.86,1006.57,15.73,26.23,85.67,Rain
South,11,31.98,78.58,1003.4,22.63,23.96,100.0,Rain
North,6,24.14,58.74,1000.25,16.65,15.0,68.18,Rain
South,11,28.74,79.43,1006.34,17.07,22.57,68.7,Rain
West,7,21.5,80.77,1004.79,12.3,14.0,27.59,Rain
North,6,19.69,81.6,1008.67,10.29,15.0,76.89,Rain
West,4,38.56,60.26,1005.27,10.36,3.5,11.44,Sunny
South,12,26.12,50.7,1012.42,11.1,8.72,31.12,Sunny
East,9,30.34,83.91,1017.02,11.08,31.84,93.37,Rain
South,3,36.49,72.01,1009.97,7.53,8.0,22.19,Cloudy
Central,10,22.48,65.1,1009.37,10.3,11.42,41.23,Sunny
Central,1,17.03,49.84,1008.1,14.23,16.62,55.43,Sunny
North,7,16.68,73.18,1004.2,8.29,25.4,100.0,Rain
West,3,29.23,48.32,1004.8,12.12,14.22,43.35,Sunny
Central,11,28.36,73.47,1012.03,7.95,14.37,46.08,Rain
North,1,20.06,36.48,1012.1,10.45,5.44,0.0,Sunny
North,1,16.28,27.02,1011.93,15.1,5.65,21.09,Fog
North,8,25.87,57.86,1004.51,12.5,19.08,70.19,Cloudy
West,1,17.49,30.89,1008.37,8.87,15.86,57.8,Sunny
South,12,26.68,47.03,1014.13,16.95,13.89,20.26,Cloudy
Central,2,18.5,50.25,1010.17,16.04,10.35,10.27,Cloudy
North,12,17.49,40.25,1007.65,15.51,11.73,35.59,Fog
Central,10,20.04,82.27,1010.01,12.1,18.45,72.89,Rain
Central,8,23.22,98.44,1001.7,19.82,22.84,97.68,Rain
West,3,36.0,57.46,1009.17,9.16,8.81,35.65,Sunny
East,4,33.67,54.5,1012.12,10.39,8.5,35.34,Cloudy
East,2,19.72,56.79,1009.39,19.53,15.75,48.35,Cloudy
North,1,12.37,30.56,1011.16,8.58,4.31,8.91,Fog
South,7,30.26,93.9,1002.18,13.12,18.5,53.91,Rain
North,2,22.03,48.47,1014.71,14.47,3.5,6.5,Fog
East,6,25.68,88.88,1005.93,18.28,23.38,100.0,Rain
East,1,22.7,45.35,1013.67,15.15,7.5,14.78,Cloudy
Central,3,36.61,56.7,1010.25,9.64,6.0,26.38,Cloudy
North,8,23.9,64.52,1009.16,22.18,36.36,100.0,Storm
West,11,29.22,52.1,1010.28,2.36,8.0,2.42,Cloudy
North,10,20.51,62.77,1013.89,12.3,13.83,51.08,Cloudy
North,10,23.42,57.22,1008.92,9.01,10.01,35.96,Sunny
Central,2,21.94,45.55,1003.99,14.92,5.0,10.1,Cloudy
North,8,22.12,78.0,1005.47,20.57,18.12,80.44,Rain
West,11,20.79,67.5,1003.22,17.43,22.67,100.0,Cloudy
Central,7,25.17,71.09,1011.73,13.86,16.5,77.36,Rain
North,6,21.07,64.78,1004.51,2.91,23.22,73.16,Cloudy
North,2,15.3,29.74,1008.88,12.2,16.36,43.74,Sunny
East,9,27.27,90.08,1004.85,4.77,29.02,85.4,Rain
East,6,22.95,88.72,1001.04,13.67,22.68,88.33,Rain
East,10,24.79,75.2,1017.34,12.04,13.0,51.3,Rain
South,3,35.84,62.78,1005.69,10.83,8.0,35.42,Sunny
West,3,34.23,60.82,1007.52,11.73,5.33,8.44,Cloudy
East,4,38.15,64.49,1005.89,10.48,21.26,100.0,Cloudy
North,9,24.46,67.66,1000.61,13.19,25.49,100.0,Cloudy
West,5,28.58,57.42,1008.15,9.13,4.88,37.96,Sunny
East,4,32.3,55.58,1003.28,18.98,17.84,56.96,Cloudy
South,2,21.99,53.09,1010.42,12.0,14.41,33.26,Sunny
East,4,35.07,67.64,1004.71,12.12,14.42,43.8,Cloudy
East,8,23.33,81.55,1009.42,17.42,23.21,75.53,Rain
West,6,29.49,68.46,1003.33,10.57,14.0,34.1,Cloudy
East,2,19.55,58.25,1007.85,11.97,11.7,50.66,Cloudy
East,3,40.23,54.08,1012.43,17.85,16.65,47.23,Cloudy
South,1,17.32,44.19,1010.52,10.63,16.29,35.7,Sunny
East,4,30.51,53.66,1006.33,15.82,12.42,61.21,Cloudy
East,1,17.1,59.3,1004.86,9.16,7.5,35.32,Sunny
West,5,34.29,50.31,1005.94,12.78,11.05,20.38,Cloudy
Central,9,26.84,82.01,1003.27,9.0,23.99,67.81,Rain
South,8,28.56,92.81,1006.19,15.78,24.78,75.15,Rain
Central,12,20.11,49.68,1007.75,6.33,5.0,6.3,Cloudy
North,9,23.61,83.81,1006.44,13.83,16.86,59.46,Rain
North,4,31.12,50.85,1011.13,7.5,6.82,28.92,Cloudy
South,8,26.18,82.56,1002.73,16.05,37.53,100.0,Storm
East,12,22.16,54.74,1006.87,7.58,7.5,23.46,Cloudy
Central,7,26.57,86.84,1010.96,14.0,19.74,50.38,Rain
Central,6,25.64,73.09,1011.13,7.28,16.5,57.09,Rain
North,9,19.83,67.5,1008.81,7.78,15.0,36.12,Rain
Central,12,15.09,43.55,1014.93,11.13,14.15,49.56,Cloudy
Central,2,17.97,48.36,1009.97,11.41,9.92,21.19,Cloudy
North,2,19.55,38.26,1015.32,16.29,3.5,35.14,Sunny
Central,6,18.97,81.79,1010.36,6.94,16.5,51.16,Rain
South,1,27.03,45.47,1014.45,15.5,15.22,72.02,Cloudy
North,9,25.34,64.03,1009.75,9.88,19.56,54.23,Cloudy
South,11,29.56,86.05,1005.81,13.91,15.23,54.53,Rain
North,3,34.93,38.86,1012.11,17.36,5.48,12.44,Sunny
West,10,28.69,45.75,1014.72,10.49,10.77,33.2,Cloudy
Central,1,13.25,37.08,1008.25,19.27,13.77,40.4,Sunny
North,9,25.91,64.82,1006.01,9.9,24.05,99.56,Cloudy
South,2,21.02,56.88,1009.32,9.4,7.0,33.89,Cloudy
West,11,33.69,71.58,1010.25,15.63,16.86,76.5,Rain
East,9,24.67,81.46,1011.75,17.77,25.89,80.0,Rain
West,1,18.99,47.95,1010.54,14.81,10.14,24.46,Sunny
East,7,27.76,85.45,1007.05,5.62,19.0,67.29,Rain
West,8,26.67,73.03,1000.78,11.19,15.52,37.3,Rain
West,1,26.06,45.47,1011.33,12.57,2.5,12.11,Cloudy
Central,11,26.76,75.78,1005.57,9.65,10.5,10.92,Cloudy
East,4,33.83,44.19,1004.0,12.25,12.79,41.65,Cloudy
North,9,22.37,68.21,1008.35,10.07,15.0,52.42,Cloudy
West,10,24.6,63.05,1005.85,11.77,12.36,69.24,Cloudy
West,10,26.0,54.16,1006.07,7.14,8.0,7.7,Sunny
East,5,31.29,58.18,1013.12,8.56,8.5,40.69,Sunny
North,11,19.26,64.97,998.11,5.58,22.03,63.85,Cloudy
East,10,23.68,75.46,1013.42,12.81,16.69,71.61,Rain
West,8,29.69,68.15,1009.24,23.16,33.89,100.0,Storm
West,9,21.68,84.82,1009.93,9.89,14.95,47.19,Rain
Central,10,24.65,83.48,1005.11,18.66,25.39,83.47,Storm
Central,2,17.74,51.85,1013.18,18.6,5.0,0.0,Sunny
West,3,31.96,51.65,1010.6,4.93,3.5,22.69,Cloudy
West,6,27.97,89.45,1010.73,8.01,25.17,100.0,Rain
North,7,25.29,73.85,1007.1,17.05,15.0,43.9,Rain
West,7,25.0,81.23,1011.98,16.74,22.85,100.0,Rain
